,Jobs,Application Links,Post Date,Location,Closed Date,Status
35,Energy Service - Mechanical Design Engineer Internship (Fall 2021),https://www.tesla.com/careers/search/job/energy-service-mechanical-design-engineer-internship-fall-2021-80330,12/30/2020,U.S,As Soon As Possible,OPEN
36,Software - Integration Engineering Internship (Fall 2021),https://www.tesla.com/careers/search/job/software-integration-engineering-internship-fall-2021-80352,12/30/2020,U.S,As Soon As Possible,OPEN
37,Energy - Global Business Development Internship (Fall 2021),https://www.tesla.com/careers/search/job/energy-global-business-development-internship-fall-2021-80326,12/30/2020,U.S,As Soon As Possible,OPEN
38,Manufacturing - Quality Engineering Internship (Fall 2021),https://www.tesla.com/careers/search/job/manufacturing-quality-engineering-internship-fall-2021-80314,12/30/2020,U.S,As Soon As Possible,OPEN
39,Visual and Graphic Internship (Summer 2021),https://www.tesla.com/careers/search/job/visual-and-graphic-internship-summer-2021-77546,11/19/2020,U.S,As Soon As Possible,OPEN
40,Finance - Corporate Accounting (Fund & Payroll) Internship (Fall 2021),https://www.tesla.com/careers/search/job/finance-corporate-accounting-fund-payroll-internship-fall-2021-80316,12/30/2020,U.S,As Soon As Possible,OPEN
41,CMF Design Internship (Summer 2021),https://www.tesla.com/careers/search/job/cmf-design-internship-summer-2021-80681,01/05/2021,U.S,As Soon As Possible,OPEN
42,Software - Energy Optimization Internship (Fall 2021),https://www.tesla.com/careers/search/job/software-energy-optimization-internship-fall-2021-80332,12/30/2020,U.S,As Soon As Possible,OPEN
43,Video & Photo Internship (Summer 2021),https://www.tesla.com/careers/search/job/video-photo-internship-summer-2021-80292,12/29/2020,U.S,As Soon As Possible,OPEN
44,Vehicle Hardware - Mechanical Design Engineering Internship (Fall 2021),https://www.tesla.com/careers/search/job/vehicle-hardware-mechanical-design-engineering-internship-fall-2021-80342,12/30/2020,U.S,As Soon As Possible,OPEN
