,Jobs,Application Links,Location,Post Date,Closed Date,Status
72,"Assistant Manager, Client Experience",https://jobs.sephora.com/USA/job/Stockton-Assistant-Manager%2C-Client-Experience-CA-95207/702972400/,"Stockton, CA, US, 95207","Jan 5, 2021",As soon as possible,Open
73,Beauty Advisor,https://jobs.sephora.com/USA/job/Stockton-Beauty-Advisor-CA-95207/702621500/,"Stockton, CA, US, 95207","Jan 4, 2021",As soon as possible,Open
74,Store Director,https://jobs.sephora.com/USA/job/Newark-Store-Director-DE-19702/702662700/,"Newark, DE, US, 19702","Jan 4, 2021",As soon as possible,Open
75,Shift Coordinator,https://jobs.sephora.com/USA/job/Olive-Branch-Shift-Coordinator-MS-38654/623635500/,"Olive Branch, MS, US, 38654","Jan 3, 2021",As soon as possible,Open
76,Store Director,https://jobs.sephora.com/USA/job/Arlington-TX-76015/689991600/,"Arlington, TX, US, 76015","Jan 2, 2021",As soon as possible,Open
77,Beauty Advisor,https://jobs.sephora.com/USA/job/New-Orleans-Beauty-Advisor-LA-70130/704185900/,"New Orleans, LA, US, 70130","Jan 10, 2021",As soon as possible,Open
78,Beauty Advisor,https://jobs.sephora.com/USA/job/Pittsburgh-Beauty-Advisor-PA-15241/705242400/,"Pittsburgh, PA, US, 15241","Jan 13, 2021",As soon as possible,Open
79,Beauty Advisor,https://jobs.sephora.com/USA/job/Pittsburgh-Beauty-Advisor-PA-15232/697727300/,"Pittsburgh, PA, US, 15232","Jan 6, 2021",As soon as possible,Open
80,Beauty Advisor,https://jobs.sephora.com/USA/job/Ridgeland-MS-39157/702590200/,"Ridgeland, MS, US, 39157","Jan 4, 2021",As soon as possible,Open
81,"Assistant Manager, Client Experience",https://jobs.sephora.com/USA/job/California-Assistant-Manager%2C-Client-Experience-CA-90230/702443400/,"California, CA, US, 90230","Jan 4, 2021",As soon as possible,Open
82,Beauty Advisor,https://jobs.sephora.com/USA/job/Marlton-Beauty-Advisor-NJ-08053/703152400/,"Marlton, NJ, US, 08053","Jan 6, 2021",As soon as possible,Open
83,"Assistant Manager, Client Experience",https://jobs.sephora.com/USA/job/Houston-TX-77027/702434300/,"Houston, TX, US, 77027","Jan 4, 2021",As soon as possible,Open
