,Jobs,Application Links,Location,Post Date,Closed Date,Status
27,BlueJeans Windows App Development Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6113012-bluejeans-windows-app-development-summer-2021-internship,"Location: San Jose, CA, United States San Jose, CA, United States",Date: 2021-01-07,As Soon As Possible,OPEN
28,BlueJeans Mac App Development Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6113019-bluejeans-mac-app-development-summer-2021-internship,"Location: San Jose, CA, United States San Jose, CA, United States",Date: 2021-01-07,As Soon As Possible,OPEN
29,BlueJeans Product Design Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6113088-bluejeans-product-design-summer-2021-internship,"Location: San Jose, CA, United States San Jose, CA, United States",Date: 2021-01-07,As Soon As Possible,OPEN
30,Finance Leadership Development Program Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6114077-finance-leadership-development-program-summer-2021-internship,"Location: Basking Ridge, NJ, United States Basking Ridge, NJ, United States",Date: 2021-01-07,As Soon As Possible,OPEN
31,Customer Experience MBA Summer 2021 Internship,https://www.verizon.com/about/work/jobs/5562320-customer-experience-mba-summer-2021-internship,"Location: Basking Ridge, NJ, United States Basking Ridge, NJ, United States",Date: 2021-01-07,As Soon As Possible,OPEN
32,Network Operations Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6084771-network-operations-summer-2021-internship,"Location: Southlake, TX, United States Southlake, TX, United States",Date: 2020-12-30,As Soon As Possible,OPEN
33,Device Technology Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6084524-device-technology-summer-2021-internship,"Location: Basking Ridge, NJ, United States Basking Ridge, NJ, United States",Date: 2020-12-30,As Soon As Possible,OPEN
34,Device Technology Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6084536-device-technology-summer-2021-internship,"Location: Boston, MA, United States Boston, MA, United States",Date: 2020-12-30,As Soon As Possible,OPEN
35,Network Operations Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6084767-network-operations-summer-2021-internship,"Location: Branchburg, NJ, United States Branchburg, NJ, United States",Date: 2020-12-30,As Soon As Possible,OPEN
36,Predictive Analytics Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6084762-predictive-analytics-summer-2021-internship,"Location: Basking Ridge, NJ, United States Basking Ridge, NJ, United States",Date: 2020-12-30,As Soon As Possible,OPEN
37,Emerging Technologies Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6084808-emerging-technologies-summer-2021-internship,"Location: Irving, TX, United States Irving, TX, United States",Date: 2020-12-30,As Soon As Possible,OPEN
38,Data Center Automation AI Ops Summer 2021 Internship Opportunities,https://www.verizon.com/about/work/jobs/5794794-data-center-automation-ai-ops-summer-2021-internship-opportunities,"Location: Branchburg, NJ, United States Branchburg, NJ, United States",Date: 2020-12-30,As Soon As Possible,OPEN
39,Emerging Technologies Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6084800-emerging-technologies-summer-2021-internship,"Location: Basking Ridge, NJ, United States Basking Ridge, NJ, United States",Date: 2020-12-30,As Soon As Possible,OPEN
40,Software Development Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6084494-software-development-summer-2021-internship,"Location: San Jose, CA, United States San Jose, CA, United States",Date: 2020-12-30,As Soon As Possible,OPEN
41,Network Performance Summer 2021 Internship Opportunities,https://www.verizon.com/about/work/jobs/6084537-network-performance-summer-2021-internship-opportunities,"Location: Boston, MA, United States Boston, MA, United States",Date: 2020-12-30,As Soon As Possible,OPEN
42,Software Development Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6084745-software-development-summer-2021-internship,"Location: Basking Ridge, NJ, United States Basking Ridge, NJ, United States",Date: 2020-12-30,As Soon As Possible,OPEN
43,Predictive Analytics Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6084768-predictive-analytics-summer-2021-internship,"Location: Walnut Creek, CA, United States Walnut Creek, CA, United States",Date: 2020-12-30,As Soon As Possible,OPEN
44,Network Engineering & Field Operations Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6058609-network-engineering-and-field-operations-summer-2021-internship,"Location: Pembroke Pines, FL, United States Pembroke Pines, FL, United States",Date: 2020-12-23,As Soon As Possible,OPEN
45,Network Engineering & Field Operations Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6058586-network-engineering-and-field-operations-summer-2021-internship,"Location: Alpharetta, GA, United States Alpharetta, GA, United States",Date: 2020-12-23,As Soon As Possible,OPEN
46,Radio Frequency Design Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6058539-radio-frequency-design-summer-2021-internship,"Location: Westborough, MA, United States Westborough, MA, United States",Date: 2020-12-23,As Soon As Possible,OPEN
47,Maintenance Engineering Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6058540-maintenance-engineering-summer-2021-internship,"Location: Worcester, MA, United States Worcester, MA, United States",Date: 2020-12-23,As Soon As Possible,OPEN
48,Wireless Planning & Analytics Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6058556-wireless-planning-and-analytics-summer-2021-internship,"Location: Plano, TX, United States Plano, TX, United States",Date: 2020-12-23,As Soon As Possible,OPEN
49,Wireless Planning & Analytics Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6058557-wireless-planning-and-analytics-summer-2021-internship,"Location: Bloomington, MN, United States Bloomington, MN, United States",Date: 2020-12-23,As Soon As Possible,OPEN
50,Network Engineering & Field Operations Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6058610-network-engineering-and-field-operations-summer-2021-internship,"Location: Spokane, WA, United States Spokane, WA, United States",Date: 2020-12-23,As Soon As Possible,OPEN
51,Network Engineering & Field Operations Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6058609-network-engineering-and-field-operations-summer-2021-internship,"Location: Pembroke Pines, FL, United States Pembroke Pines, FL, United States",Date: 2020-12-23,As Soon As Possible,OPEN
52,Network Engineering & Field Operations Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6058586-network-engineering-and-field-operations-summer-2021-internship,"Location: Alpharetta, GA, United States Alpharetta, GA, United States",Date: 2020-12-23,As Soon As Possible,OPEN
53,Radio Frequency Design Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6058539-radio-frequency-design-summer-2021-internship,"Location: Westborough, MA, United States Westborough, MA, United States",Date: 2020-12-23,As Soon As Possible,OPEN
54,Maintenance Engineering Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6058540-maintenance-engineering-summer-2021-internship,"Location: Worcester, MA, United States Worcester, MA, United States",Date: 2020-12-23,As Soon As Possible,OPEN
55,Wireless Planning & Analytics Summer 2021 Internship,https://www.verizon.com/about/work/jobs/6058556-wireless-planning-and-analytics-summer-2021-internship,"Location: Plano, TX, United States Plano, TX, United States",Date: 2020-12-23,As Soon As Possible,OPEN
56,Corporate Strategy Business Development MBA Summer 2021 Internship,https://www.verizon.com/about/work/jobs/5613698-corporate-strategy-business-development-mba-summer-2021-internship,"Location: Basking Ridge, NJ, United States Basking Ridge, NJ, United States",Date: 2020-12-21,As Soon As Possible,OPEN
57,FCBA Public Policy Intern,https://www.verizon.com/about/work/jobs/5874218-fcba-public-policy-intern,"Location: Washington, DC, United States Washington, DC, United States",Date: 2020-11-17,As Soon As Possible,OPEN
58,Consumer Services Analytics and Strategy MBA Summer 2021 Internship - Remote,https://www.verizon.com/about/work/jobs/5605977-consumer-services-analytics-and-strategy-mba-summer-2021-internship-remote,"Location: Basking Ridge, NJ, United States Basking Ridge, NJ, United States",Date: 2020-11-13,As Soon As Possible,OPEN
59,Technical Product Management MBA Intern,https://www.verizon.com/about/work/jobs/5791867-technical-product-management-mba-intern,"Location: Boston, MA, United States Boston, MA, United States",Date: 2020-10-29,As Soon As Possible,OPEN
60,"Public Policy Real Experience Program, PREP, Summer Intern 2021",https://www.verizon.com/about/work/jobs/5600452-public-policy-real-experience-program-prep-summer-intern-2021,"Location: Washington, DC, United States Washington, DC, United States",Date: 2020-10-13,As Soon As Possible,OPEN
61,Legal Internship Forward Track (LIFT) Summer 2021 Internship,https://www.verizon.com/about/work/jobs/5705979-legal-internship-forward-track-lift-summer-2021-internship,"Location: Basking Ridge, NJ, United States Basking Ridge, NJ, United States",Date: 2020-10-12,As Soon As Possible,OPEN
62,Legal Internship Forward Track (LIFT) Summer 2021 Internship,https://www.verizon.com/about/work/jobs/5706015-legal-internship-forward-track-lift-summer-2021-internship,"Location: Chicago, IL, United States Chicago, IL, United States",Date: 2020-10-12,As Soon As Possible,OPEN
63,Legal Internship Forward Track (LIFT) Summer 2021 Internship,https://www.verizon.com/about/work/jobs/5706017-legal-internship-forward-track-lift-summer-2021-internship,"Location: San Francisco, CA, United States San Francisco, CA, United States",Date: 2020-10-12,As Soon As Possible,OPEN
64,Legal Internship Forward Track (LIFT) Summer 2021 Internship,https://www.verizon.com/about/work/jobs/5705993-legal-internship-forward-track-lift-summer-2021-internship,"Location: Irving, TX, United States Irving, TX, United States",Date: 2020-10-12,As Soon As Possible,OPEN
65,Associate Solutions Architect Entry-Level Opportunities,https://www.verizon.com/about/work/jobs/5679506-associate-solutions-architect-entry-level-opportunities,"Location: Cary, NC, United States Cary, NC, United States",Date: 2020-10-05,As Soon As Possible,OPEN
